filename,fold,target,category,esc10,src_file,take,filepath
3-157695-A-0.wav,3,0,dog,True,157695,A,ESC-50-master/audio/3-157695-A-0.wav
3-136288-A-0.wav,3,0,dog,True,136288,A,ESC-50-master/audio/3-136288-A-0.wav
2-122104-B-0.wav,2,0,dog,True,122104,B,ESC-50-master/audio/2-122104-B-0.wav
4-184575-A-0.wav,4,0,dog,True,184575,A,ESC-50-master/audio/4-184575-A-0.wav
1-32318-A-0.wav,1,0,dog,True,32318,A,ESC-50-master/audio/1-32318-A-0.wav
2-118072-A-0.wav,2,0,dog,True,118072,A,ESC-50-master/audio/2-118072-A-0.wav
5-217158-A-0.wav,5,0,dog,True,217158,A,ESC-50-master/audio/5-217158-A-0.wav
4-191687-A-0.wav,4,0,dog,True,191687,A,ESC-50-master/audio/4-191687-A-0.wav
3-137152-A-1.wav,3,1,rooster,True,137152,A,ESC-50-master/audio/3-137152-A-1.wav
3-107219-A-1.wav,3,1,rooster,True,107219,A,ESC-50-master/audio/3-107219-A-1.wav
2-96460-A-1.wav,2,1,rooster,True,96460,A,ESC-50-master/audio/2-96460-A-1.wav
4-164064-B-1.wav,4,1,rooster,True,164064,B,ESC-50-master/audio/4-164064-B-1.wav
1-39923-A-1.wav,1,1,rooster,True,39923,A,ESC-50-master/audio/1-39923-A-1.wav
2-95035-A-1.wav,2,1,rooster,True,95035,A,ESC-50-master/audio/2-95035-A-1.wav
5-233160-A-1.wav,5,1,rooster,True,233160,A,ESC-50-master/audio/5-233160-A-1.wav
4-164064-C-1.wav,4,1,rooster,True,164064,C,ESC-50-master/audio/4-164064-C-1.wav
3-253084-B-2.wav,3,2,pig,False,253084,B,ESC-50-master/audio/3-253084-B-2.wav
3-233151-A-2.wav,3,2,pig,False,233151,A,ESC-50-master/audio/3-233151-A-2.wav
2-37870-A-2.wav,2,2,pig,False,37870,A,ESC-50-master/audio/2-37870-A-2.wav
4-147240-A-2.wav,4,2,pig,False,147240,A,ESC-50-master/audio/4-147240-A-2.wav
1-208757-E-2.wav,1,2,pig,False,208757,E,ESC-50-master/audio/1-208757-E-2.wav
2-166644-A-2.wav,2,2,pig,False,166644,A,ESC-50-master/audio/2-166644-A-2.wav
5-103422-A-2.wav,5,2,pig,False,103422,A,ESC-50-master/audio/5-103422-A-2.wav
4-147240-B-2.wav,4,2,pig,False,147240,B,ESC-50-master/audio/4-147240-B-2.wav
3-126358-B-3.wav,3,3,cow,False,126358,B,ESC-50-master/audio/3-126358-B-3.wav
3-124376-A-3.wav,3,3,cow,False,124376,A,ESC-50-master/audio/3-124376-A-3.wav
2-117795-B-3.wav,2,3,cow,False,117795,B,ESC-50-master/audio/2-117795-B-3.wav
4-181955-A-3.wav,4,3,cow,False,181955,A,ESC-50-master/audio/4-181955-A-3.wav
1-69641-A-3.wav,1,3,cow,False,69641,A,ESC-50-master/audio/1-69641-A-3.wav
2-103428-A-3.wav,2,3,cow,False,103428,A,ESC-50-master/audio/2-103428-A-3.wav
5-242492-A-3.wav,5,3,cow,False,242492,A,ESC-50-master/audio/5-242492-A-3.wav
4-181955-B-3.wav,4,3,cow,False,181955,B,ESC-50-master/audio/4-181955-B-3.wav
3-70962-C-4.wav,3,4,frog,False,70962,C,ESC-50-master/audio/3-70962-C-4.wav
3-102908-A-4.wav,3,4,frog,False,102908,A,ESC-50-master/audio/3-102908-A-4.wav
2-52789-A-4.wav,2,4,frog,False,52789,A,ESC-50-master/audio/2-52789-A-4.wav
4-99193-A-4.wav,4,4,frog,False,99193,A,ESC-50-master/audio/4-99193-A-4.wav
