filename,fold,esc10,src_file,take,filepath
1-100032-A-0.wav,1,True,100032,A,ESC-50-master/audio/1-100032-A-0.wav
1-110389-A-0.wav,1,True,110389,A,ESC-50-master/audio/1-110389-A-0.wav
1-30226-A-0.wav,1,True,30226,A,ESC-50-master/audio/1-30226-A-0.wav
1-30344-A-0.wav,1,True,30344,A,ESC-50-master/audio/1-30344-A-0.wav
1-59513-A-0.wav,1,True,59513,A,ESC-50-master/audio/1-59513-A-0.wav
1-85362-A-0.wav,1,True,85362,A,ESC-50-master/audio/1-85362-A-0.wav
1-97392-A-0.wav,1,True,97392,A,ESC-50-master/audio/1-97392-A-0.wav
2-114280-A-0.wav,2,True,114280,A,ESC-50-master/audio/2-114280-A-0.wav
2-114587-A-0.wav,2,True,114587,A,ESC-50-master/audio/2-114587-A-0.wav
2-116400-A-0.wav,2,True,116400,A,ESC-50-master/audio/2-116400-A-0.wav
2-117271-A-0.wav,2,True,117271,A,ESC-50-master/audio/2-117271-A-0.wav
2-118964-A-0.wav,2,True,118964,A,ESC-50-master/audio/2-118964-A-0.wav
2-122104-A-0.wav,2,True,122104,A,ESC-50-master/audio/2-122104-A-0.wav
3-144028-A-0.wav,3,True,144028,A,ESC-50-master/audio/3-144028-A-0.wav
3-155312-A-0.wav,3,True,155312,A,ESC-50-master/audio/3-155312-A-0.wav
3-163459-A-0.wav,3,True,163459,A,ESC-50-master/audio/3-163459-A-0.wav
3-170015-A-0.wav,3,True,170015,A,ESC-50-master/audio/3-170015-A-0.wav
3-180256-A-0.wav,3,True,180256,A,ESC-50-master/audio/3-180256-A-0.wav
3-180977-A-0.wav,3,True,180977,A,ESC-50-master/audio/3-180977-A-0.wav
4-182395-A-0.wav,4,True,182395,A,ESC-50-master/audio/4-182395-A-0.wav
4-183992-A-0.wav,4,True,183992,A,ESC-50-master/audio/4-183992-A-0.wav
4-192236-A-0.wav,4,True,192236,A,ESC-50-master/audio/4-192236-A-0.wav
4-194754-A-0.wav,4,True,194754,A,ESC-50-master/audio/4-194754-A-0.wav
4-199261-A-0.wav,4,True,199261,A,ESC-50-master/audio/4-199261-A-0.wav
4-207124-A-0.wav,4,True,207124,A,ESC-50-master/audio/4-207124-A-0.wav
5-203128-A-0.wav,5,True,203128,A,ESC-50-master/audio/5-203128-A-0.wav
5-203128-B-0.wav,5,True,203128,B,ESC-50-master/audio/5-203128-B-0.wav
5-208030-A-0.wav,5,True,208030,A,ESC-50-master/audio/5-208030-A-0.wav
5-212454-A-0.wav,5,True,212454,A,ESC-50-master/audio/5-212454-A-0.wav
5-213855-A-0.wav,5,True,213855,A,ESC-50-master/audio/5-213855-A-0.wav
5-231762-A-0.wav,5,True,231762,A,ESC-50-master/audio/5-231762-A-0.wav
5-9032-A-0.wav,5,True,9032,A,ESC-50-master/audio/5-9032-A-0.wav
1-26806-A-1.wav,1,True,26806,A,ESC-50-master/audio/1-26806-A-1.wav
1-27724-A-1.wav,1,True,27724,A,ESC-50-master/audio/1-27724-A-1.wav
1-34119-A-1.wav,1,True,34119,A,ESC-50-master/audio/1-34119-A-1.wav
1-34119-B-1.wav,1,True,34119,B,ESC-50-master/audio/1-34119-B-1.wav
1-40730-A-1.wav,1,True,40730,A,ESC-50-master/audio/1-40730-A-1.wav
1-43382-A-1.wav,1,True,43382,A,ESC-50-master/audio/1-43382-A-1.wav
1-44831-A-1.wav,1,True,44831,A,ESC-50-master/audio/1-44831-A-1.wav
2-100786-A-1.wav,2,True,100786,A,ESC-50-master/audio/2-100786-A-1.wav
2-65750-A-1.wav,2,True,65750,A,ESC-50-master/audio/2-65750-A-1.wav
2-71162-A-1.wav,2,True,71162,A,ESC-50-master/audio/2-71162-A-1.wav
2-81270-A-1.wav,2,True,81270,A,ESC-50-master/audio/2-81270-A-1.wav
2-95258-A-1.wav,2,True,95258,A,ESC-50-master/audio/2-95258-A-1.wav
2-95258-B-1.wav,2,True,95258,B,ESC-50-master/audio/2-95258-B-1.wav
3-116135-A-1.wav,3,True,116135,A,ESC-50-master/audio/3-116135-A-1.wav
3-134049-A-1.wav,3,True,134049,A,ESC-50-master/audio/3-134049-A-1.wav
3-145382-A-1.wav,3,True,145382,A,ESC-50-master/audio/3-145382-A-1.wav
3-149189-A-1.wav,3,True,149189,A,ESC-50-master/audio/3-149189-A-1.wav
3-154957-A-1.wav,3,True,154957,A,ESC-50-master/audio/3-154957-A-1.wav
3-163288-A-1.wav,3,True,163288,A,ESC-50-master/audio/3-163288-A-1.wav
4-164021-A-1.wav,4,True,164021,A,ESC-50-master/audio/4-164021-A-1.wav
4-164064-A-1.wav,4,True,164064,A,ESC-50-master/audio/4-164064-A-1.wav
4-164859-A-1.wav,4,True,164859,A,ESC-50-master/audio/4-164859-A-1.wav
4-170078-A-1.wav,4,True,170078,A,ESC-50-master/audio/4-170078-A-1.wav
4-183487-A-1.wav,4,True,183487,A,ESC-50-master/audio/4-183487-A-1.wav
4-208021-A-1.wav,4,True,208021,A,ESC-50-master/audio/4-208021-A-1.wav
5-194930-A-1.wav,5,True,194930,A,ESC-50-master/audio/5-194930-A-1.wav
5-194930-B-1.wav,5,True,194930,B,ESC-50-master/audio/5-194930-B-1.wav
5-200334-A-1.wav,5,True,200334,A,ESC-50-master/audio/5-200334-A-1.wav
5-200334-B-1.wav,5,True,200334,B,ESC-50-master/audio/5-200334-B-1.wav
5-200339-A-1.wav,5,True,200339,A,ESC-50-master/audio/5-200339-A-1.wav
5-234879-A-1.wav,5,True,234879,A,ESC-50-master/audio/5-234879-A-1.wav
5-234879-B-1.wav,5,True,234879,B,ESC-50-master/audio/5-234879-B-1.wav
1-208757-A-2.wav,1,False,208757,A,ESC-50-master/audio/1-208757-A-2.wav
1-208757-B-2.wav,1,False,208757,B,ESC-50-master/audio/1-208757-B-2.wav
1-208757-C-2.wav,1,False,208757,C,ESC-50-master/audio/1-208757-C-2.wav
1-208757-D-2.wav,1,False,208757,D,ESC-50-master/audio/1-208757-D-2.wav
1-260640-A-2.wav,1,False,260640,A,ESC-50-master/audio/1-260640-A-2.wav
1-260640-B-2.wav,1,False,260640,B,ESC-50-master/audio/1-260640-B-2.wav
1-260640-C-2.wav,1,False,260640,C,ESC-50-master/audio/1-260640-C-2.wav
2-158746-A-2.wav,2,False,158746,A,ESC-50-master/audio/2-158746-A-2.wav
2-158746-B-2.wav,2,False,158746,B,ESC-50-master/audio/2-158746-B-2.wav
2-158746-C-2.wav,2,False,158746,C,ESC-50-master/audio/2-158746-C-2.wav
2-158746-D-2.wav,2,False,158746,D,ESC-50-master/audio/2-158746-D-2.wav
2-166644-B-2.wav,2,False,166644,B,ESC-50-master/audio/2-166644-B-2.wav
2-166644-C-2.wav,2,False,166644,C,ESC-50-master/audio/2-166644-C-2.wav
3-253081-A-2.wav,3,False,253081,A,ESC-50-master/audio/3-253081-A-2.wav
3-253084-A-2.wav,3,False,253084,A,ESC-50-master/audio/3-253084-A-2.wav
